"time","cholera_deaths","population"
1891.083333,2641,2422291.2
1891.166667,939,2423926.4
1891.25,905,2425561.8
1891.333333,1219,2427197.6
1891.416667,368,2428833.7
1891.5,78,2430470.4
1891.583333,29,2432107.8
1891.666667,12,2433745.9
1891.75,30,2435384.9
1891.833333,44,2437024.9
1891.916667,270,2438665.9
1892,1149,2440308.3
1892.083333,633,2441951.9
1892.166667,501,2443597
1892.25,855,2445243.7
1892.333333,1271,2446892
1892.416667,666,2448542.1
1892.5,101,2450194.2
1892.583333,62,2451848.3
1892.666667,23,2453504.5
1892.75,20,2455162.9
1892.833333,28,2456823.7
1892.916667,461,2458487
1893,892,2460152.9
1893.083333,751,2461821.5
1893.166667,170,2463492.9
1893.25,253,2465167.2
1893.333333,906,2466844.6
1893.416667,700,2468525.2
1893.5,98,2470209
1893.583333,57,2471896.3
1893.666667,72,2473587
1893.75,471,2475281.4
1893.833333,4217,2476979.4
1893.916667,5168,2478681.4
1894,4747,2480387.3
1894.083333,2380,2482097.3
1894.166667,852,2483811.4
1894.25,1166,2485529.9
1894.333333,2122,2487252.8
1894.416667,576,2488980.2
1894.5,60,2490712.3
1894.583333,53,2492449.2
1894.666667,62,2494190.9
1894.75,241,2495937.6
1894.833333,403,2497689.4
1894.916667,551,2499446.5
1895,739,2501208.8
1895.083333,862,2502976.7
1895.166667,348,2504750
1895.25,490,2506529.1
1895.333333,5596,2508313.9
1895.416667,1180,2510104.7
1895.5,142,2511901.5
1895.583333,41,2513704.4
1895.666667,28,2515513.5
1895.75,39,2517329.1
1895.833333,748,2519151
1895.916667,3934,2520979.6
1896,3562,2522814.9
1896.083333,587,2524657
1896.166667,311,2526506.1
1896.25,1639,2528362.2
1896.333333,1903,2530225.4
1896.416667,601,2532095.9
1896.5,110,2533973.8
1896.583333,32,2535859.3
1896.666667,19,2537752.3
1896.75,82,2539653.1
1896.833333,420,2541561.7
1896.916667,1014,2543478.3
1897,1073,2545402.9
1897.083333,416,2547335.8
1897.166667,168,2549276.9
1897.25,909,2551226.5
1897.333333,1355,2553184.6
1897.416667,447,2555151.3
1897.5,59,2557126.8
1897.583333,13,2559111.2
1897.666667,21,2561104.6
1897.75,43,2563107.1
1897.833333,109,2565118.8
1897.916667,338,2567139.8
1898,470,2569170.3
1898.083333,489,2571210.3
1898.166667,394,2573260
1898.25,483,2575319.5
1898.333333,842,2577388.9
1898.416667,356,2579468.3
1898.5,29,2581557.9
1898.583333,17,2583657.6
1898.666667,16,2585767.8
1898.75,57,2587888.4
1898.833333,110,2590019.6
1898.916667,488,2592161.6
1899,1727,2594314.3
1899.083333,1253,2596478
1899.166667,359,2598652.7
